OC,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,DEM,SLOPE,ASPECT,evi,ssm,minimum_2m_air_temperature_median,mean_2m_air_temperature_median,maximum_2m_air_temperature_median,v_component_of_wind_10m_median,total_precipitation_median,LU1_Desc,DOMSOI,GPS_LONG,GPS_LAT
5.8,429.5,589,739.5,1028,1256.5,1619.5,1841.5,2064,2095.5,2356,2989.5,1993.5,98,3.119044,252.71829,0.320175047,3.7626238,285.68185,291.79965,297.99612,-1.6157429,0.00000664,Agriculture (excluding fallow land and kitchen gardens),Po,-8.367875561,38.94179381
3.4,669.5,905.5,1345.5,1750,2162.5,2565,2820,3045.5,3238,3051.5,4216,3122.5,18,2.0246642,62.747967,0.161758774,4.764539,285.0732,290.85223,296.89185,-1.6858895,0.00000758,Agriculture (excluding fallow land and kitchen gardens),Po,-8.430829259,39.41058515
10.1,1247,1576,2030,2603,2964,3123,3174,3276,3460,3585,4570,3685,20,0.92740995,0,0.117445923,5.531921,285.0732,290.85223,296.89185,-1.6858895,0.00000758,Agriculture (excluding fallow land and kitchen gardens),Po,-8.440962163,39.44562452
7.8,572,628,827,1211.5,1532,2066.5,2344.5,2428.5,2769,2956.5,3719,2315.5,160,2.5784001,135.9675,0.251710938,3.8148189,285.57614,291.58154,297.69153,-1.7281085,0.00000467,Forestry,Po,-8.277726695,39.12561598
8.1,357,411,653.5,848.5,1179.5,1908,2191,1808,2375,2304.5,2942,1984.5,118,7.8344774,180,0.233641877,2.8965378,285.36072,291.73044,298.6386,-1.3435786,0.00000777,Forestry,Po,-8.138163986,38.9673951
6.5,400,668.5,882,1222,1395.5,1756,1993.5,2331.5,2357,2434,3561.5,2369.5,171,2.5799544,224.06824,0.264476205,4.3022094,285.2072,291.76715,298.46005,-1.4970251,0.00000626,Forestry,Po,-8.207455207,39.21302743
15.7,611,678,958,1255,1701,2335,2586,2967,2881,2928,3045,2094,174,1.8588803,284.4413,0.188579145,5.328133,285.13626,291.37613,297.32077,-1.5835495,0.00000746,Forestry,Po,-8.121636384,39.4142123
10.6,409,427.5,667,846,1262,1818,2025.5,2054.5,2363.5,2854.5,2892.5,1751.5,246,1.7998275,270,0.360641892,4.5642185,285.42145,291.3865,297.88776,-1.4192425,0.00000647,Forestry,Po,-7.998540491,39.40049249
15.6,523.5,654.5,966,1486.5,1780,1872,2116,2334,2518.5,2665.5,4253.5,2767.5,120,4.769038,101.18821,0.12878822,7.179183,286.9178,291.055,295.50858,-2.3713634,0.00000978,Agriculture (excluding fallow land and kitchen gardens),I,-8.630849544,37.70546324
34.3,525,836.5,1098,1708.5,1920,2071.5,2294,2611.5,2744.5,2860,4382,2920,150,0.74792355,51.683228,0.106776029,6.122694,287.0348,290.93185,295.32452,-2.316602,0.00000929,Agriculture (excluding fallow land and kitchen gardens),I,-8.655334168,37.79321359
12.1,455,663.5,946.5,1400,1671,1913.5,2212.5,2558,2615,2707,4055,2612,120,3.9991858,35.864853,0.161850859,4.3571405,285.87177,291.42578,297.58517,-1.4989121,0.0000071,Forestry,I,-8.370764946,37.77534776
12.8,289,440,661,1056,1076,1322,1512.5,1882,1797,2095.5,2830.5,1789,189,3.016259,202.83311,0.177973199,5.0385017,285.80984,291.23044,297.5064,-1.5435523,0.00000694,Forestry,I,-8.314985341,37.65667873
15.9,592.5,1059.5,1558,2451.5,2585.5,2978.5,3236,3602.5,3641.5,3381,4018.5,2631,170,2.386989,258.80386,0.141834299,4.2730675,285.62476,291.2829,298.06082,-1.2921187,0.0000063,Agriculture (excluding fallow land and kitchen gardens),I,-8.244007388,37.65202644
11,384,563,831,1323,1652,1822,2048,2251,2461,2493,3745,2323,258,3.460588,122.369606,0.15858209,4.2730675,285.62476,291.2829,298.06082,-1.2921187,0.0000063,Agriculture (excluding fallow land and kitchen gardens),I,-8.158773954,37.59456715
37.3,662,947,1501,1972,2388,2939,3144,3336,3383,3388,3779,2698,60,2.1883485,32.086113,0.11190388,25.4,286.31232,291.07037,296.84122,-1.4916655,0.00000544,Fallow land,Lc,-8.466693493,37.1082318
3.9,642.5,730,1120.5,1693.5,2147.5,2657.5,2901,3019.5,3263.5,3116.5,3496,2383,131,4.3507686,41.86747,0.184317153,3.6061625,285.88287,291.10886,297.30847,-1.2170019,0.00000393,Agriculture (excluding fallow land and kitchen gardens),Lc,-8.225788031,37.15573516
14.4,489,899,1345,1831,2177,2594,2817,3111,3175,2963,3695,2379,61,1.3909631,180,0.144842204,3.6061625,285.88287,291.10886,297.30847,-1.2170019,0.00000393,Agriculture (excluding fallow land and kitchen gardens),Lc,-8.186661556,37.18190161
19.9,590,789.5,1030.5,1285,1455,1951,2133,2556,2514,2573.5,2921,1908,180,6.499609,218.60393,0.31026253,4.664359,285.88287,291.10886,297.30847,-1.2170019,0.00000393,Agriculture (excluding fallow land and kitchen gardens),Lc,-8.155341858,37.15098681
22.4,568,684,983,1223,1798,2656,3014,3135,3281,3227,3216,2140,218,5.073619,214.8673,0.136537792,3.4810638,285.9464,291.01163,296.95642,-1.1895064,0.00000381,Agriculture (excluding fallow land and kitchen gardens),Lc,-7.917530136,37.12302697
18,369,525,815,1149.5,1598.5,2195,2462.5,2671.5,2779,2667,3303,2202,62,6.0782466,287.7003,0.332722211,25.4,285.9464,291.01163,296.95642,-1.1895064,0.00000381,Forestry,Lc,-7.789523471,37.07357074
